statefips,age,hrslastwk,unempwks,wagehr,earnwk,ownchild,educ,gender,metro,race,hispanic,marstatus,lfstatus,ottipcomm,hourly,unionstatus
FL,36,40,NA,13,520,4,14,Male,Metro,Other,Non-hispanic,Married,Employed,No,Hourly,Non-union
CA,31,20,NA,11,217.5,0,12,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
MI,57,10,NA,11.87,118.7,0,13,Female,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
WV,44,NA,NA,NA,NA,0,10,Female,Metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
VA,36,40,NA,NA,961,2,14,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
DC,37,NA,NA,NA,NA,0,18,Male,Metro,White,Hispanic,Married,Not in LF,NA,NA,NA
MO,55,44,NA,NA,1480.76,0,16,Male,Metro,White,Non-hispanic,Divorced,Employed,Yes,Non-hourly,Non-union
AL,34,50,NA,NA,600,2,13,Male,Metro,White,Non-hispanic,Married,Employed,Yes,Non-hourly,Non-union
NJ,54,40,NA,NA,1884,1,12,Female,Metro,White,Hispanic,Married,Employed,No,Non-hourly,Non-union
MS,59,40,NA,12.95,518,0,14,Male,Metro,Black,Non-hispanic,Married,Employed,No,Hourly,Union
WA,31,40,NA,12.5,500,3,2.5,Male,Non-metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
AR,30,40,NA,15,622.5,2,12,Male,Metro,White,Hispanic,Divorced,Employed,Yes,Hourly,Non-union
NY,39,30,NA,9.5,520,0,16,Male,Metro,Black,Non-hispanic,Never married,Employed,No,Hourly,Non-union
SC,39,NA,NA,NA,NA,1,12,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
TX,52,NA,NA,NA,NA,0,12,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
FL,54,48,NA,NA,1346.15,0,12,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
ND,51,40,NA,20,826.92,0,11,Male,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
WV,45,NA,NA,NA,NA,0,9,Female,Metro,White,Non-hispanic,Never married,Not in LF,NA,NA,NA
KY,30,40,NA,13.75,711.04,2,11,Male,Metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Non-union
SD,44,45,NA,18,855,5,12,Male,Non-metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Non-union
PA,51,NA,NA,NA,NA,0,12,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
OR,41,NA,NA,NA,NA,2,11,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
MT,59,65,NA,NA,2300,0,12,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
NC,45,40,NA,16.33,653.84,0,12,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
CA,43,NA,NA,NA,NA,2,14,Male,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
MD,38,46,NA,21,890,2,5.5,Male,Metro,White,Hispanic,Married,Employed,Yes,Hourly,Non-union
OK,46,40,NA,NA,865,0,16,Male,Metro,White,Non-hispanic,Never married,Employed,No,Non-hourly,Non-union
AZ,42,NA,NA,NA,NA,0,10,Male,Metro,White,Hispanic,Never married,Not in LF,NA,NA,NA
SD,55,40,NA,19.25,770,0,12,Male,Non-metro,White,Non-hispanic,Divorced,Employed,No,Hourly,Non-union
UT,50,NA,NA,NA,NA,0,12,Female,Metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
MI,41,NA,NA,NA,NA,1,12,Male,Metro,White,Non-hispanic,Widowed,Not in LF,NA,NA,NA
NV,47,NA,NA,NA,NA,0,12,Male,Metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
MT,48,32,NA,NA,1442.3,1,12,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
SC,52,45,NA,NA,1057,0,14,Female,Metro,Black,Non-hispanic,Never married,Employed,No,Non-hourly,Non-union
IN,38,40,NA,NA,1442.3,2,7.5,Male,Non-metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
MS,57,NA,NA,NA,NA,0,11,Female,Non-metro,Black,Non-hispanic,Never married,Not in LF,NA,NA,NA
WV,43,NA,2,NA,NA,0,12,Female,Non-metro,White,Non-hispanic,Married,Unemployed,NA,NA,NA
NH,49,NA,NA,NA,NA,1,7.5,Female,Metro,Black,Non-hispanic,Married,Not in LF,NA,NA,NA
WY,40,60,NA,NA,550,0,14,Female,Non-metro,White,Non-hispanic,Widowed,Employed,No,Non-hourly,Non-union
WY,38,80,NA,24,2320,3,12,Male,Metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Non-union
MN,58,41,NA,26.48,1098.92,0,13,Male,Metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Union
WY,44,56,NA,12,750,0,14,Female,Non-metro,White,Non-hispanic,Never married,Employed,Yes,Hourly,Non-union
OR,51,40,NA,24.5,980,1,14,Male,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
WV,33,10,NA,13.77,107.5,3,12,Female,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
NM,40,34,NA,13,442,2,12,Female,Metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
AL,34,39,NA,10,550,2,14,Male,Non-metro,Black,Non-hispanic,Married,Employed,No,Hourly,Non-union
TX,40,NA,NA,NA,NA,0,12,Male,Non-metro,White,Non-hispanic,Never married,Not in LF,NA,NA,NA
NY,47,50,NA,NA,2307,0,12,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Union
CT,44,40,NA,NA,461.53,1,13,Female,Metro,White,Non-hispanic,Married,Employed,Yes,Non-hourly,Non-union
WI,35,40,NA,13,670,2,14,Female,Metro,Black,Non-hispanic,Never married,Employed,Yes,Hourly,Non-union
OK,48,NA,NA,NA,NA,0,12,Female,Metro,Other,Non-hispanic,Married,Not in LF,NA,NA,NA
UT,46,40,NA,15,600,2,14,Female,Metro,Other,Non-hispanic,Divorced,Employed,No,Hourly,Non-union
SC,40,28,NA,18.5,740,0,15,Male,Non-metro,Black,Non-hispanic,Never married,Employed,No,Hourly,Non-union
TX,32,40,NA,1.01,961.53,1,16,Male,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
NY,57,40,NA,NA,961.53,0,12,Female,Metro,White,Hispanic,Married,Employed,No,Non-hourly,Non-union
HI,45,40,NA,23.5,1115,2,12,Male,Metro,Other,Non-hispanic,Married,Employed,No,Hourly,Non-union
LA,55,60,NA,NA,923,0,18,Male,Metro,Other,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
TX,41,39,NA,NA,817.3,0,13,Female,Metro,White,Hispanic,Married,Employed,No,Non-hourly,Non-union
MO,56,40,NA,23.41,936.4,1,14,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
IA,38,37,NA,16,592,3,12,Male,Metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
WI,52,47,NA,NA,1730.76,1,12,Male,Metro,White,Non-hispanic,Divorced,Employed,No,Non-hourly,Non-union
ND,31,NA,NA,NA,NA,1,13,Female,Non-metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
MN,34,40,NA,17,680,0,12,Male,Metro,Other,Non-hispanic,Never married,Employed,No,Hourly,Non-union
MS,48,NA,NA,NA,NA,0,12,Female,Non-metro,Black,Non-hispanic,Never married,Not in LF,NA,NA,NA
SC,51,21,NA,NA,461,0,12,Female,Non-metro,Black,Non-hispanic,Divorced,Employed,No,Non-hourly,Non-union
IA,47,99,NA,NA,2500,0,15,Male,Non-metro,White,Non-hispanic,Never married,Employed,No,Non-hourly,Non-union
TX,32,38,NA,NA,2037.5,2,18,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
DE,45,40,NA,NA,2910.12,0,12,Female,Metro,White,Hispanic,Married,Employed,No,Non-hourly,Non-union
MI,43,40,NA,NA,1538,1,12,Male,Metro,White,Non-hispanic,Divorced,Employed,No,Non-hourly,Non-union
CA,46,NA,NA,NA,NA,0,12,Female,Metro,Other,Non-hispanic,Married,Not in LF,NA,NA,NA
NY,39,30,NA,11,330,0,14,Male,Metro,Other,Non-hispanic,Married,Employed,No,Hourly,Non-union
CA,38,NA,NA,NA,NA,2,14,Female,Metro,White,Hispanic,Never married,Not in LF,NA,NA,NA
CA,39,45,NA,12,1100,1,12,Male,Metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Union
CA,59,NA,NA,NA,NA,0,13,Male,Metro,White,Hispanic,Never married,Not in LF,NA,NA,NA
IN,59,40,NA,20,800,3,12,Male,Non-metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
ME,52,53,NA,NA,2846.15,0,14,Male,Non-metro,White,Non-hispanic,Divorced,Employed,Yes,Non-hourly,Non-union
PA,49,40,NA,NA,594,1,15,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
VA,35,NA,NA,NA,NA,1,14,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
MI,34,NA,NA,NA,NA,0,12,Female,Metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
VA,56,40,NA,14,560,0,11,Female,Metro,Black,Non-hispanic,Married,Employed,No,Hourly,Non-union
SD,57,NA,NA,NA,NA,0,12,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
AR,35,40,NA,17.76,710.4,2,16,Female,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
FL,31,35,NA,10,350,1,11,Male,Metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
TX,32,NA,NA,NA,NA,3,14,Female,Metro,White,Hispanic,Married,Not in LF,NA,NA,NA
VT,37,60,NA,NA,4489.37,1,18,Female,Non-metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Union
TX,55,70,NA,40.05,1716.1,1,15,Male,Metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Union
MT,50,NA,108,NA,NA,0,15,Female,Non-metro,White,Non-hispanic,Married,Unemployed,NA,NA,NA
WA,37,50,NA,NA,1538.46,1,14,Male,Metro,Other,Non-hispanic,Divorced,Employed,No,Non-hourly,Non-union
WV,48,40,NA,44,1600,1,12,Male,Non-metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Union
NM,40,40,NA,31,1211.53,2,14,Female,Metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
ND,32,36,NA,15.25,549,2,14,Female,Non-metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
FL,31,40,NA,12,480,0,12,Male,Metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
AL,37,40,NA,21,961.53,2,11,Male,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
IN,46,55,NA,NA,900,0,13,Female,Metro,White,Non-hispanic,Married,Employed,Yes,Non-hourly,Non-union
HI,31,40,NA,16,725,3,14,Male,Non-metro,Other,Non-hispanic,Married,Employed,No,Hourly,Non-union
MI,54,NA,NA,NA,NA,2,12,Male,Metro,Other,Non-hispanic,Married,Not in LF,NA,NA,NA
UT,37,NA,NA,NA,NA,4,14,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
NJ,40,40,NA,NA,700,0,13,Male,Metro,Black,Non-hispanic,Never married,Employed,No,Non-hourly,Union
NH,47,NA,NA,NA,NA,1,14,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
LA,37,50,NA,14,560,1,9,Male,Metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
NV,41,40,NA,18.43,730.76,2,12,Female,Metro,White,Hispanic,Divorced,Employed,No,Hourly,Union
NM,49,NA,NA,NA,NA,0,14,Female,Metro,White,Hispanic,Divorced,Not in LF,NA,NA,NA
WV,52,NA,NA,NA,NA,0,11,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
VT,43,26,NA,30,1200,2,14,Male,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
FL,49,NA,NA,NA,NA,0,12,Male,Non-metro,Black,Non-hispanic,Divorced,Not in LF,NA,NA,NA
MT,31,10,NA,16.76,550,4,11,Female,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
FL,55,40,NA,18,500,0,12,Male,Metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
OH,59,40,NA,30.56,1200,0,14,Male,Metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Non-union
KS,43,35,NA,11,440,0,2.5,Male,Metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
IL,34,40,NA,20,900,0,12,Male,Metro,White,Hispanic,Divorced,Employed,Yes,Hourly,Non-union
TX,54,NA,17,NA,NA,0,12,Female,Metro,White,Hispanic,Divorced,Unemployed,NA,NA,NA
MN,58,40,NA,NA,1923.07,0,15,Female,Metro,White,Non-hispanic,Divorced,Employed,No,Non-hourly,Non-union
OK,31,32,NA,23,920,3,5.5,Male,Metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
NM,54,NA,NA,NA,NA,0,14,Female,Non-metro,White,Hispanic,Married,Not in LF,NA,NA,NA
NY,45,NA,NA,NA,NA,1,12,Male,Metro,Other,Non-hispanic,Married,Not in LF,NA,NA,NA
WI,59,15,NA,12,240,0,14,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
DE,39,40,NA,20,800,0,11,Male,Metro,White,Non-hispanic,Divorced,Employed,No,Hourly,Non-union
CO,51,NA,NA,NA,NA,0,14,Male,Non-metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
CA,44,65,NA,NA,1730.76,2,12,Male,Metro,White,Hispanic,Married,Employed,No,Non-hourly,Non-union
WV,59,40,NA,NA,692.3,0,12,Female,Non-metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
IL,49,50,NA,NA,2307,2,18,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
AK,32,NA,20,NA,NA,0,11,Male,Non-metro,Other,Non-hispanic,Never married,Unemployed,NA,NA,NA
NH,32,32,NA,12,480,2,12,Male,Non-metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
AL,43,40,NA,14,560,2,14,Female,Metro,Black,Non-hispanic,Married,Employed,No,Hourly,Non-union
GA,49,50,NA,17.45,872.5,0,13,Male,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
CA,32,NA,NA,NA,NA,0,14,Male,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
TX,47,NA,4,NA,NA,1,12,Male,Metro,White,Hispanic,Married,Unemployed,NA,NA,NA
CA,46,17,NA,22,440,1,14,Male,Metro,White,Non-hispanic,Divorced,Employed,No,Hourly,Non-union
TX,47,40,NA,NA,769,0,12,Male,Metro,White,Hispanic,Divorced,Employed,No,Non-hourly,Non-union
CA,50,40,NA,NA,1057,0,13,Male,Metro,White,Hispanic,Never married,Employed,No,Non-hourly,Non-union
HI,43,40,NA,NA,480,0,11,Male,Non-metro,Other,Non-hispanic,Never married,Employed,No,Non-hourly,Non-union
WI,31,40,NA,52.5,2076.92,0,18,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
WI,54,50,NA,NA,1000,1,12,Male,Non-metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
ID,45,40,NA,16.75,670,2,12,Male,Metro,Other,Non-hispanic,Never married,Employed,No,Hourly,Non-union
TX,50,40,NA,15,600,0,2.5,Male,Metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
FL,40,NA,NA,NA,NA,5,11,Male,Metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
FL,48,40,NA,14.5,580,0,12,Male,Metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
AL,58,NA,NA,NA,NA,0,14,Male,Non-metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
NH,51,40,NA,NA,673.07,0,12,Male,Non-metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
MS,40,40,NA,NA,450,0,12,Male,Metro,Black,Non-hispanic,Divorced,Employed,No,Non-hourly,Non-union
FL,57,60,NA,25,1500,0,13,Female,Metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
IN,34,35,NA,13.81,483.35,2,13,Female,Metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Union
PA,37,NA,NA,NA,NA,4,12,Female,Non-metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
RI,43,22,NA,18,400,0,12,Male,Metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
CA,32,40,NA,25,1000,3,11,Male,Metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
AR,57,NA,NA,NA,NA,0,12,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
OH,45,NA,NA,NA,NA,1,12,Male,Non-metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
NV,46,40,NA,20.12,804.8,1,11,Female,Metro,White,Hispanic,Married,Employed,No,Hourly,Union
CT,36,56,NA,28,1120,0,10,Male,Metro,White,Non-hispanic,Divorced,Employed,No,Hourly,Non-union
MA,52,40,NA,18,720,0,14,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
VA,30,40,NA,13,520,2,12,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
SC,58,NA,NA,NA,NA,0,10,Female,Metro,Black,Non-hispanic,Never married,Not in LF,NA,NA,NA
ME,58,NA,NA,NA,NA,0,12,Male,Non-metro,White,Non-hispanic,Never married,Not in LF,NA,NA,NA
TX,32,28,NA,16.15,672.5,1,13,Female,Metro,White,Hispanic,Never married,Employed,No,Hourly,Non-union
MD,47,40,NA,NA,1346.15,1,12,Female,Metro,Black,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
NY,42,NA,NA,NA,NA,0,12,Female,Metro,Black,Non-hispanic,Never married,Not in LF,NA,NA,NA
GA,54,40,NA,8.73,300,0,10,Male,Non-metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Non-union
IL,56,55,NA,13,1730,0,12,Male,Metro,White,Hispanic,Married,Employed,Yes,Hourly,Non-union
TX,30,NA,NA,NA,NA,2,12,Female,Non-metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
WV,50,NA,61,NA,NA,0,12,Female,Metro,White,Non-hispanic,Divorced,Unemployed,NA,NA,NA
WV,53,NA,NA,NA,NA,0,12,Female,Metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
MI,30,NA,NA,NA,NA,6,7.5,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
CA,52,40,NA,16,640,0,5.5,Male,Metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
RI,36,40,NA,37.59,1503.6,3,14,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
MO,52,32,NA,NA,1096.15,1,13,Male,Metro,White,Hispanic,Married,Employed,No,Non-hourly,Non-union
CA,48,40,NA,28,1115.38,0,18,Female,Metro,White,Hispanic,Married,Employed,No,Hourly,Union
NC,49,40,NA,2.13,685.2,2,14,Female,Metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Non-union
NM,48,40,NA,15.3,612,0,12,Female,Metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
IN,54,40,NA,NA,992.3,0,12,Male,Metro,White,Non-hispanic,Never married,Employed,No,Non-hourly,Non-union
WY,45,40,NA,13.5,540,0,12,Female,Non-metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
AL,43,40,NA,24.5,2695,0,12,Male,Metro,White,Non-hispanic,Never married,Employed,Yes,Hourly,Non-union
NM,39,40,NA,10.15,406,1,7.5,Female,Metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
KY,48,40,NA,NA,1346.15,0,12,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
CA,39,40,NA,20,769.23,0,11,Male,Metro,White,Hispanic,Never married,Employed,No,Hourly,Non-union
LA,38,40,NA,22,880,2,14,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
NJ,42,40,NA,NA,507,0,11,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
MS,32,51,NA,6.18,350,3,12,Female,Non-metro,Black,Non-hispanic,Never married,Employed,Yes,Hourly,Non-union
TN,48,NA,NA,NA,NA,0,12,Male,Metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
CA,49,54,NA,12,648,1,2.5,Female,Metro,White,Hispanic,Divorced,Employed,No,Hourly,Non-union
OR,42,45,NA,NA,1730.76,1,12,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
CA,50,40,NA,NA,3069.98,2,18,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
NC,46,24,NA,NA,1403,0,12,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
OH,53,60,NA,NA,2307.69,0,18,Male,Non-metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
OH,41,29,NA,8,232,4,12,Female,Metro,Black,Non-hispanic,Married,Employed,No,Hourly,Non-union
GA,46,40,NA,20,800,0,12,Male,Metro,Other,Non-hispanic,Married,Employed,No,Hourly,Non-union
GA,39,20,NA,32.5,650,2,12,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
LA,40,NA,NA,NA,NA,0,7.5,Male,Metro,White,Non-hispanic,Never married,Not in LF,NA,NA,NA
WY,35,20,NA,20,400,4,12,Female,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
NC,37,55,NA,18,990,0,12,Male,Non-metro,Black,Non-hispanic,Married,Employed,No,Hourly,Non-union
MI,57,32,NA,11.85,474,0,12,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
GA,43,40,NA,14.5,580,0,12,Female,Non-metro,White,Non-hispanic,Divorced,Employed,No,Hourly,Non-union
FL,49,42,NA,NA,448.97,1,14,Male,Metro,White,Hispanic,Married,Employed,No,Non-hourly,Non-union
TX,53,40,NA,21,840,0,12,Male,Metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
KY,47,40,NA,22.5,900,0,12,Female,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
NJ,51,40,NA,NA,1153,0,12,Male,Metro,White,Hispanic,Married,Employed,No,Non-hourly,Non-union
TX,41,40,NA,NA,2115.38,1,13,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
VT,53,50,NA,NA,1730.76,0,18,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
TX,47,40,NA,NA,1038.46,1,12,Male,Metro,White,Hispanic,Married,Employed,No,Non-hourly,Non-union
NY,43,NA,5,NA,NA,2,12,Male,Metro,White,Non-hispanic,Married,Unemployed,NA,NA,NA
MA,48,33,NA,14.79,488.07,0,12,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
MN,31,40,NA,9.5,380,0,14,Female,Metro,White,Non-hispanic,Never married,Employed,Yes,Hourly,Non-union
IL,44,40,NA,NA,1153,1,15,Male,Metro,Black,Non-hispanic,Married,Employed,Yes,Non-hourly,Non-union
GA,43,40,NA,NA,1923,1,14,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
TN,38,40,NA,NA,1076,1,14,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
AZ,59,16,NA,15,240,0,10,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
TN,31,NA,NA,NA,NA,0,15,Female,Metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
LA,45,NA,NA,NA,NA,2,12,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
KS,43,38,NA,15,540,1,14,Male,Non-metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
NY,51,40,NA,12,480,1,12,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
KS,59,49,NA,13.39,602.55,0,13,Female,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
TX,49,40,NA,NA,2115,0,18,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
FL,35,40,NA,NA,1826.92,0,14,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
HI,44,NA,NA,NA,NA,3,12,Female,Non-metro,Other,Non-hispanic,Widowed,Not in LF,NA,NA,NA
IA,36,30,NA,NA,576.92,2,12,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
FL,38,NA,NA,NA,NA,1,2.5,Female,Metro,White,Hispanic,Married,Not in LF,NA,NA,NA
LA,38,60,NA,22,1620,0,12,Male,Metro,White,Non-hispanic,Never married,Employed,Yes,Hourly,Non-union
TX,42,NA,NA,NA,NA,1,7.5,Male,Metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
AL,37,NA,NA,NA,NA,0,12,Male,Metro,Black,Non-hispanic,Never married,Not in LF,NA,NA,NA
MA,56,45,NA,22.64,1250,0,12,Male,Metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Union
PA,45,NA,NA,NA,NA,0,12,Female,Non-metro,White,Non-hispanic,Never married,Not in LF,NA,NA,NA
AL,55,NA,NA,NA,NA,3,14,Male,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
FL,58,40,NA,NA,576,0,2.5,Male,Metro,White,Hispanic,Never married,Employed,Yes,Non-hourly,Non-union
CA,42,40,NA,NA,769.23,0,5.5,Female,Metro,White,Hispanic,Never married,Employed,No,Non-hourly,Non-union
OR,33,NA,NA,NA,NA,2,12,Female,Metro,Other,Non-hispanic,Never married,Not in LF,NA,NA,NA
AZ,33,40,NA,NA,750,1,15,Female,Metro,White,Non-hispanic,Never married,Employed,No,Non-hourly,Non-union
IN,58,35,NA,NA,461.53,0,18,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
IN,42,32,NA,13.35,534,0,14,Male,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
SD,55,40,NA,42,1680,0,12,Male,Non-metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
GA,41,40,NA,NA,750,0,16,Male,Non-metro,White,Hispanic,Divorced,Employed,No,Non-hourly,Non-union
MA,43,40,NA,18,720,1,12,Male,Metro,Black,Hispanic,Married,Employed,No,Hourly,Non-union
ND,46,NA,NA,NA,NA,0,16,Male,Metro,White,Non-hispanic,Never married,Not in LF,NA,NA,NA
CO,36,NA,NA,NA,NA,0,11,Female,Metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
OH,31,24,NA,NA,923.07,1,13,Male,Non-metro,White,Non-hispanic,Divorced,Employed,No,Non-hourly,Non-union
AR,30,48,NA,24.6,1205.4,3,12,Male,Metro,Other,Hispanic,Married,Employed,Yes,Hourly,Non-union
CA,38,NA,NA,NA,NA,0,12,Male,Metro,Black,Non-hispanic,Never married,Not in LF,NA,NA,NA
NV,54,35,NA,18,630,0,14,Female,Metro,White,Non-hispanic,Never married,Employed,No,Hourly,Union
NY,37,29,NA,NA,538.46,0,14,Female,Metro,White,Non-hispanic,Never married,Employed,No,Non-hourly,Non-union
KS,58,NA,NA,NA,NA,0,15,Male,Metro,Other,Non-hispanic,Never married,Not in LF,NA,NA,NA
AR,31,40,NA,27,1390,3,16,Male,Metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Non-union
CA,40,NA,NA,NA,NA,5,14,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
MI,52,60,NA,16,640,0,12,Male,Non-metro,White,Non-hispanic,Divorced,Employed,No,Hourly,Non-union
